[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000872s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001349s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006254s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Tag[ view_end ] --START--
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001368s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/Upload/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001555s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Tag[ route_check ] --START--
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Run CheckRoute Behavior [ RunTime:0.001528s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Tag[ route_check ] --END-- [ RunTime:0.001720s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001178s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Run CheckLang Behavior [ RunTime:0.001978s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003447s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | SQL: SHOW COLUMNS FROM `my_attachment` [ RunTime:0.008619s ]
[ 2012-10-17T23:09:10+08:00 ] /myweb/index.php/Admin/upload/_list | SQL: SELECT * FROM `my_attachment`  [ RunTime:0.001316s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.002501s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.002841s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001964s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Run CheckLang Behavior [ RunTime:0.003308s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005708s ]
[ 2012-10-17T23:09:36+08:00 ] /myweb/index.php/Admin/Setting | INFO: Tag[ view_template ] --START--
