[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000831s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000990s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000680s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000904s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003666s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000954s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001039s ]
[ 2012-10-19T17:45:18+08:00 ] /index.php/Admin/index/skin/images/frame/wbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ route_check ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run CheckRoute Behavior [ RunTime:0.001031s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001187s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ app_begin ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000600s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run CheckLang Behavior [ RunTime:0.001792s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002546s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.023398s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000265s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | SQL: SELECT * FROM `my_category` WHERE pid!=0  [ RunTime:0.000225s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_template ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run LocationTemplate Behavior [ RunTime:0.001728s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001800s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_parse ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | NOTIC: [8] Undefined index:  control 8d630bfcc3f8428cb093c5301748865f.php 第 1 行.
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ParseTemplate Behavior [ RunTime:0.002022s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002092s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_filter ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ContentReplace Behavior [ RunTime:0.000351s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run TokenBuild Behavior [ RunTime:0.000384s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000225s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ShowRuntime Behavior [ RunTime:0.000427s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001554s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_end ] --START--
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ShowPageTrace Behavior [ RunTime:0.000431s ]
[ 2012-10-19T17:45:19+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ view_end ] --END-- [ RunTime:0.000491s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run CheckRoute Behavior [ RunTime:0.001026s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001174s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001585s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run CheckLang Behavior [ RunTime:0.001886s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003698s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.003615s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | SQL: SELECT * FROM `my_category`  [ RunTime:0.000877s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_template ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run LocationTemplate Behavior [ RunTime:0.001624s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001735s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_parse ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run ParseTemplate Behavior [ RunTime:0.004371s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004532s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_filter ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run ContentReplace Behavior [ RunTime:0.000562s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run TokenBuild Behavior [ RunTime:0.000585s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000298s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run ShowRuntime Behavior [ RunTime:0.000520s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002217s ]
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_end ] --START--
[ 2012-10-19T17:45:20+08:00 ] /index.php/Admin/Channel | INFO: Run ShowPageTrace Behavior [ RunTime:0.001496s ]
