[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000971s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.002110s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003302s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.002539s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000628s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid!=0  [ RunTime:0.000107s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.000740s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.000828s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.001117s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001199s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.000349s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.000479s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000246s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.000428s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001688s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ShowPageTrace Behavior [ RunTime:0.000427s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ view_end ] --END-- [ RunTime:0.000490s ]
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run CheckRoute Behavior [ RunTime:0.000895s ]
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001018s ]
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000569s ]
[ 2012-10-23T09:57:37+08:00 ] /index.php/Admin/Menu/menu/action/Channel | INFO: Run CheckLang Behavior [ RunTime:0.001608s ]
